,reg,jour,hosp,rea,dc,nomReg
0,1,2020-03-18,0,0,0,Guadeloupe
11,2,2020-03-18,16,5,1,Martinique
22,3,2020-03-18,0,0,0,Guyane
33,4,2020-03-18,2,2,0,La Réunion
44,6,2020-03-18,0,0,0,Mayotte
55,11,2020-03-18,957,294,36,Ile-de-France
66,24,2020-03-18,14,5,1,Centre-Val de Loire
77,27,2020-03-18,168,33,6,Bourgogne-Franche-Comté
88,28,2020-03-18,45,4,3,Normandie
99,32,2020-03-18,313,87,21,Hauts-de-France
110,44,2020-03-18,879,204,120,Grand-Est
121,52,2020-03-18,44,4,1,Pays de la Loire
132,53,2020-03-18,60,23,7,Bretagne
143,75,2020-03-18,41,12,2,Nouvelle-Aquitaine
154,76,2020-03-18,95,39,6,Occitanie
165,84,2020-03-18,172,35,7,Auvergne-Rhône-Alpes
176,93,2020-03-18,166,24,7,Provence-Alpes-Côte d'Azur
187,94,2020-03-18,0,0,0,Corse
198,1,2020-03-19,0,0,0,Guadeloupe
209,2,2020-03-19,17,5,1,Martinique
220,3,2020-03-19,0,0,0,Guyane
231,4,2020-03-19,2,2,0,La Réunion
242,6,2020-03-19,0,0,0,Mayotte
253,11,2020-03-19,1482,410,73,Ile-de-France
264,24,2020-03-19,37,11,1,Centre-Val de Loire
275,27,2020-03-19,217,63,19,Bourgogne-Franche-Comté
286,28,2020-03-19,54,11,5,Normandie
297,32,2020-03-19,417,116,46,Hauts-de-France
308,44,2020-03-19,1196,259,158,Grand-Est
319,52,2020-03-19,66,14,1,Pays de la Loire
330,53,2020-03-19,83,25,10,Bretagne
341,75,2020-03-19,59,12,3,Nouvelle-Aquitaine
352,76,2020-03-19,145,59,17,Occitanie
363,84,2020-03-19,408,74,28,Auvergne-Rhône-Alpes
374,93,2020-03-19,224,47,9,Provence-Alpes-Côte d'Azur
385,94,2020-03-19,54,14,1,Corse
396,1,2020-03-20,0,0,0,Guadeloupe
407,2,2020-03-20,19,5,1,Martinique
418,3,2020-03-20,0,0,0,Guyane
429,4,2020-03-20,2,2,0,La Réunion
440,6,2020-03-20,0,0,0,Mayotte
451,11,2020-03-20,1785,484,99,Ile-de-France
462,24,2020-03-20,58,13,2,Centre-Val de Loire
473,27,2020-03-20,270,71,22,Bourgogne-Franche-Comté
484,28,2020-03-20,71,13,7,Normandie
495,32,2020-03-20,432,136,51,Hauts-de-France
506,44,2020-03-20,1364,294,183,Grand-Est
517,52,2020-03-20,73,17,1,Pays de la Loire
528,53,2020-03-20,94,25,12,Bretagne
539,75,2020-03-20,65,15,4,Nouvelle-Aquitaine
550,76,2020-03-20,183,66,21,Occitanie
561,84,2020-03-20,463,87,33,Auvergne-Rhône-Alpes
572,93,2020-03-20,281,55,11,Provence-Alpes-Côte d'Azur
583,94,2020-03-20,66,14,3,Corse
594,1,2020-03-21,0,0,0,Guadeloupe
605,2,2020-03-21,19,5,1,Martinique
616,3,2020-03-21,0,0,0,Guyane
627,4,2020-03-21,2,2,0,La Réunion
638,6,2020-03-21,0,0,0,Mayotte
649,11,2020-03-21,2178,567,126,Ile-de-France
660,24,2020-03-21,64,15,3,Centre-Val de Loire
671,27,2020-03-21,297,82,35,Bourgogne-Franche-Comté
682,28,2020-03-21,100,22,6,Normandie
693,32,2020-03-21,439,147,58,Hauts-de-France
704,44,2020-03-21,1556,349,227,Grand-Est
715,52,2020-03-21,88,23,3,Pays de la Loire
726,53,2020-03-21,122,26,15,Bretagne
737,75,2020-03-21,118,32,5,Nouvelle-Aquitaine
748,76,2020-03-21,206,72,26,Occitanie
759,84,2020-03-21,581,97,40,Auvergne-Rhône-Alpes
770,93,2020-03-21,334,72,13,Provence-Alpes-Côte d'Azur
781,94,2020-03-21,68,14,4,Corse
792,1,2020-03-22,6,6,0,Guadeloupe
803,2,2020-03-22,19,5,1,Martinique
814,3,2020-03-22,0,0,0,Guyane
825,4,2020-03-22,2,2,0,La Réunion
836,6,2020-03-22,0,0,0,Mayotte
847,11,2020-03-22,2638,666,148,Ile-de-France
858,24,2020-03-22,74,21,3,Centre-Val de Loire
869,27,2020-03-22,353,90,48,Bourgogne-Franche-Comté
880,28,2020-03-22,125,29,8,Normandie
891,32,2020-03-22,490,156,69,Hauts-de-France
902,44,2020-03-22,1744,385,266,Grand-Est
913,52,2020-03-22,107,28,4,Pays de la Loire
924,53,2020-03-22,130,31,17,Bretagne
935,75,2020-03-22,149,41,9,Nouvelle-Aquitaine
946,76,2020-03-22,261,73,28,Occitanie
957,84,2020-03-22,679,119,52,Auvergne-Rhône-Alpes
