jour,hosp,rea,dc
2020-03-18,2972,771,218
2020-03-19,4461,1122,372
2020-03-20,5226,1297,450
2020-03-21,6172,1525,562
2020-03-22,7240,1746,674
2020-03-23,8673,2080,860
2020-03-24,10163,2503,1100
2020-03-25,12072,2935,1387
2020-03-26,13879,3351,1695
2020-03-27,15701,3758,1994
2020-03-28,17580,4236,2313
2020-03-29,19311,4592,2606
2020-03-30,20946,5056,3024
2020-03-31,22672,5496,3523
2020-04-01,24543,5940,4032
2020-04-02,26131,6305,4503
2020-04-03,27302,6556,5091
2020-04-04,28003,6723,5532
2020-04-05,28747,6859,5889
2020-04-06,29569,6948,6494
2020-04-07,29871,7004,7091
2020-04-08,30217,7019,7632
2020-04-09,30608,6937,8044
2020-04-10,31108,6875,8598
2020-04-11,31159,6752,8943
2020-04-12,31665,6714,9253
2020-04-13,31952,6690,9588
2020-04-14,32131,6599,10129
2020-04-15,31623,6331,10643
2020-04-16,31172,6139,11053
2020-04-17,31061,5922,11470
2020-04-18,30515,5733,11834
2020-04-19,30486,5644,12061
2020-04-20,30462,5584,12505
2020-04-21,29984,5334,12892
2020-04-22,29627,5127,13225
2020-04-23,29113,4967,13536
2020-04-24,28554,4785,13841
2020-04-25,28119,4641,14039
2020-04-26,28114,4598,14191
2020-04-27,27954,4526,14486
2020-04-28,27385,4307,14798
2020-04-29,26736,4128,15041
2020-04-30,26192,3947,15231
2020-05-01,25809,3819,15350
2020-05-02,25751,3770,15468
2020-05-03,25739,3762,15564
2020-05-04,25472,3639,15807
2020-05-05,24701,3375,16041
2020-05-06,23912,3095,16218
2020-05-07,23139,2911,16367
2020-05-08,22657,2820,16478
2020-05-09,22547,2764,16554
2020-05-10,22502,2728,16623
2020-05-11,22219,2666,16801
2020-05-12,21530,2496,16984
2020-05-13,21009,2385,17082
2020-05-14,20401,2256,17205
2020-05-15,19801,2162,17323
2020-05-16,19372,2091,17393
2020-05-17,19302,2047,17447
2020-05-18,18956,1958,17570
2020-05-19,18409,1854,17695
2020-05-20,17882,1754,17793
2020-05-21,17527,1708,17851
2020-05-22,17327,1664,17925
2020-05-23,17122,1628,17968
2020-05-24,17129,1618,18003
2020-05-25,16742,1572,18093
2020-05-26,16209,1519,18175
2020-05-27,15627,1467,18240
2020-05-28,15155,1395,18306
2020-05-29,14643,1328,18367
2020-05-30,14329,1293,18424
2020-05-31,14271,1287,18455
2020-06-01,14237,1270,18486
2020-06-02,13978,1221,18570
2020-06-03,13465,1179,18651
2020-06-04,13054,1133,18695
2020-06-05,12650,1065,18741
2020-06-06,12433,1030,18772
2020-06-07,12415,1024,18785
2020-06-08,12269,995,18839
2020-06-09,11915,926,18892
2020-06-10,11632,904,18915
2020-06-11,11420,875,18942
2020-06-12,11079,851,18970
2020-06-13,10864,843,18994
2020-06-14,10836,841,19003
2020-06-15,10707,818,19032
2020-06-16,10490,792,19070
2020-06-17,10222,744,19098
2020-06-18,10080,724,19126
2020-06-19,9925,699,19140
2020-06-20,9792,687,19156
2020-06-21,9778,687,19163
2020-06-22,9648,673,19186
2020-06-23,9446,654,19212
2020-06-24,9254,630,19223
2020-06-25,9096,623,19244
2020-06-26,8841,606,19270
2020-06-27,8715,594,19285
2020-06-28,8727,594,19287
2020-06-29,8643,591,19305
2020-06-30,8491,574,19326
2020-07-01,8291,554,19344
2020-07-02,8103,545,19358
2020-07-03,7946,533,19376
2020-07-04,7863,517,19388
2020-07-05,7863,521,19390
2020-07-06,7806,521,19403
2020-07-07,7550,511,19437
