,ANN_TRT,ETA_NUM,ETB_EXE_FIN,REG_ETA,SOC_RAI,STA_ETA,VAL_ETA
0,,464394260,fAFq,LzLc,wxJWBKvpBGKqeMpEvaGzcYADSKJNoIHQwgcCuTaqUyJbY,iJ,Aw
1,WSDj,884010659,E,ZDBhEEITDWHNCdIoeciTOzbvJGSYsVvxejubf,wclnfKeWJOYZlmBRHEpZErPSBGETZCuMNqWjqkFMIiMOxbJa,T,VZrJcdRWWG
2,KMFbBGM,550095857,,tKmbUPXczHQ,JevOIHDewLGNtvbNdskFtrbbrAfpLhKUSiDYpYwFGPQSWKYMAgKIFDhKZYRDJWTWhDYjBW,jkZ,xBPbzpNiXUUyNwugrz
3,,236471725,s,ruhtQgmYjPpUtFydzyuyidGcNyyTry,SlMGBDNyMKuFptSGcbLNJRhSNlgqMlvRJkNyB,oPn,JmyFfdSSjWrFXetbaSI
4,h,649113731,t,Q,qMlFNhJoCpeGfMnHgpTvizwfsdPGOMzqJtTPzBYbEVSLUaPmGzFMWuHFuzNf,enb,KpvDRoPMQHAPaef
5,gjikFG,574597472,,qOyhFfMVVOxoozaTlTPvvkPsWtIjhdAMjNn,ewtbdWKdFVEUnimxWPqvoglAUwFBXVhjvuOQmIacoSqcNShhEtRHVQQHsAMVctkmJAxYFCBYNM,F,DQhDViUqyKKbNiXQ
6,ddelLd,892072276,i,HKcYni,qLyZBivUUbbfqBmyiUKyDLJbIAfhPolKAeTLPAsgOipTUUeBjjaVXRiVxcU,i,qJHoAZbhCUbZqS
7,,569486467,jVYn,oROaEdvipCUfkvjnXwfptPvJuwsAj,OajSxZQjoWNunvwjjEKRqHlTQvvqKhlcksNQAQAZohHrpXD,,fnhhSBcGcfB
8,N,299183087,dS,URnfgibwvkyYsWlUVdcsQcewry,uJRvhsclRrWfbmKCnWuXuhffJonenctKWQyOAfnLgnPSPDuXPWQPgjtoAIjPNrqhWSAFsvFmXLNPx,vS,ioPWmTvRQ
9,UQYvPvH,569175274,uq,tmiQcMxxOccuMLTBBuR,YIiaDCoHsKJkJzFnDEbOcCUlSptIzwUAbIfHckCRgrdLpW,,gdeirEJSpXwovgHoeRff
10,,129925496,gbAWf,flKEKAWFjuwtwMjGLBwJhdEjrRpGmxUIJIYMCYz,pqNIZuFbVUblfVitmRLrZpMtCjmgTBcDWtXW,r,VPTViXA
11,URlx,717528471,,ubZjFwAoQWvpDimBuGXFTmgYRFvbrYWbsTSG,QBIqaubIzsslHlvSVNRoQizqdNZjedehMfpKTCzIycBqmVGABtyyvItpJp,Pa,llyhL
12,UXFx,872772151,wxbYOjn,zADQdUThoHVFnxtNGWiibiFJGp,xgVouALZmIoKaSFJOckvRXSxfibvURqp,w,otNOYccFzr
13,wiPfXM,783211670,yjJLDy,fbedYfgIENPzpE,OzFlTNodnSFGsRQxitVCqVJEIWnALKIwGvdSHaNWiNqznyZSJguagxyxqdLSKpHNjo,lmz,IbUcZjldyJNhAdm
14,ahgjLYc,239845081,uXOtksQH,sj,HsmqyWEodZcPbSvbndBrCvJaBLmEwciEIgmJkkzgYZMVLKHhXrOERVJBDkPJhkaVQ,,wIEHqpEzoHxWcBO
15,SDWv,142530499,,UFiPAhYGMqnyPPTzVvlkwlxnQAyANqYlg,eEgnYybbJVlZe,gs,vVyana
16,T,816582599,rCNmD,EV,vvpPnYeOmWoAHkvRMIahewqYWbeYNfGvMtmqStdHbBYOdNYcGSAElpwtTlXVrxqOPBNDdc,hXS,CmJGnsnMHVolIFokXS
17,Rzm,993864163,EbMbgqj,ZKRnvQuZyquTLSjCPbXd,WYAGirSNUhnrLohuSzMLulHhldc,v,VkrAIZoCYTyS
18,MZLA,664878445,Yz,RyM,IQJbzfkDRAeYjGwfiWxnGlwCYje,uIQ,zAPfev
19,,987430901,Q,HMGxVJqNiPwy,dzVtjPibjwLGkQUnbjxCNaASaZHitqmrkcblIUwXZUiDlXVcwkUDtAvnYlEAkBZUHQFidSCMZOa,,QxyFETgBqRecx
20,lI,308841316,ryyyXzP,izlQstIZJac,DnLJuMyYZqwFxbHfUXZvzmvyQpTgRKYObApuLrGIlnobGNLWngecUGFKHcQL,BA,nBASBW
21,,863007477,nuxoKC,gxmVigtCuIAgfDn,SZEeIXseXcSvmFfCudElnemxeJUKXANngZ,,
22,owt,240159033,,jJsHEleniWzMCbOcmnqyuyTgPjjCgcfDTiuOgiv,KWLPklXmmZtNZkNTQtqIybUIGc,MEB,iXY
23,oDdGdy,587322881,LoQdPKZ,NOBGbzqFtDJZPvEVDezDAZASzdM,tiFvUmMenZhvNVPUcntMZgFRsCsBmFUxrHfFJuKDxbsQlanGOvu,Dm,MwOHzNRlhcLZc
24,WiqoC,850732302,CuZH,AEVfZmwROmpBHMEd,eCnMpGVPxljHIMDHQiORYgwqJxkfjtkEcTBU,o,lHdibsNJulQBiVmTJ
25,S,862181991,KVQcDy,NqLDhsJjPKMVvpoNGuaXXa,JRXtTIShKgDnbDZhfQZLvbSTEMXbhUBMCcaqEjIMIlNXfpdFGGIancbFc,k,KLaEob
26,NhK,991085732,rjSfJ,TFNhayMGAnN,OzBxhmDUZFlA,PL,dKxsWVizLt
27,gBlyha,930435029,VLiuQe,vWGsNoWjgUwMMspqmT,QZAlwIUaJCjPXMSKMGxymQWfLThJPQIVIHp,BKX,kQDSfzPfKItc
28,pS,743562835,aUf,RZDoziYzqRkvDRmGGFlVqq,KddhxbPxQphISgvTzkxqNRkoAhtTUyTNqZTFPAwOXXBbqTGsJ,sHc,chxfdaKWRdcolQVEe
29,crf,666180960,PJQZ,RShOxknOwIYqv,UsByTHMLVEfUQzdJoAdlEFjuRvpUkchZHsGYqRmZrfKd,,pOjmkQIAAcJIT
30,E,151790154,byqoKX,bzFTsGrYoskFyuvDOJFhEjtdSaiaRko,AQKhgWizsDYCgBmUaCZMDDbGkFJsdbIbPcdaoWFrKdPqWDQPMWGuhsA,,VyDeoUnnPzne
31,Ujoau,728828580,JdNCAvv,iYCwvSSSJRUWjmDcZS,VhAQOqsYPUHHfAhCCuHipgaMIGFpPNSppFSxPjieGupOdiUTviSddxmTuWxzgd,,DTwsyytIo
32,KCQt,276032233,sIEixp,OoXfdU,lgISEsEVMHNViCvQzxOBMUVfvWvEhbHehwR,xf,
33,UKBHBNJ,687689032,AXgGDfWK,ZxQvyYdARt,gCfpnYWqhpLNhBIweuYvEsVHDhhKVIjLdyEjYdDabqHtORMekEtOkd,LCg,qxMccbFQkHgEyoOVggV
34,Z,146465501,ASOFVzmj,pn,feaZWcCoIQLcGrVuRYKpjnUTJVHsW,n,ZMjQPIfg
35,X,697628605,p,wqsmRxXYDyRSnMRsdouEcmIJZTl,yzuaDUzBKstjDcAvxJpdgmSbuVYNFYAqZDocMRCqs,,kHqebELUIGnTKocOs
36,mmN,319598408,iwHTcxC,xoAPwfmW,nHEHukLPLIkgCoBURWJuIkcVFspMvABqtsYceFwzCrbvCDrDMWcNdMcRmbdr,p,YvlzDPWDnzHQ
37,AFkD,996377162,,kiEJyuosajnplulHDYNNprsR,ypTfuWILWvLCJFWtlaWCFsVtpqafnluhgQflD,cz,WWgqIlJgJkstUIDIp
38,FSCihZr,704465238,EOHZ,CHMFYifSUqfLyLT,rUsDqcfdkHWgJklAbhFBRfTgTaPCrNpHsPJDlFGqdXY,,CblNpxHOQiienllEdJx
39,pDunYYt,631988346,gglkRX,omkLiXmVQlJpzLGFLaRcgIbcbvX,dsVbZXIkVipiSmocSgbnconehkHEvmjdEgAWHmAnIhiJszGDxvCJlEPgQAHeHdrkwUksFklmmScqOkCI,Nb,nMnjiInCoxDZBf
