Date,Open,High,Low,Close,Volume
09/21/2021,"199.36","199.36","186.00","189.95","2,633,827"
09/20/2021,"200.00","202.85","184.55","192.20","3,941,802"
09/17/2021,"208.02","212.49","200.78","204.97","3,950,643"
09/16/2021,"202.33","216.55","201.15","206.37","3,058,217"
09/15/2021,"197.00","204.87","193.75","204.52","2,310,407"
09/14/2021,"200.65","204.62","195.00","199.24","2,141,631"
09/13/2021,"193.75","208.88","191.50","203.40","4,334,068"
09/10/2021,"198.41","202.16","190.00","190.41","3,042,648"
09/09/2021,"180.09","202.00","178.00","199.18","7,511,458"
09/08/2021,"201.86","206.88","190.68","198.80","5,173,566"
09/07/2021,"206.25","209.90","196.10","199.00","2,501,178"
09/03/2021,"212.05","216.27","198.84","202.75","2,664,005"
09/02/2021,"213.86","214.80","206.30","213.52","1,855,618"
09/01/2021,"224.00","231.44","208.02","212.97","4,453,782"
08/31/2021,"212.70","222.30","211.46","218.24","3,574,687"
08/30/2021,"205.00","218.19","203.02","209.20","3,309,584"
08/27/2021,"207.70","213.00","200.02","204.95","3,230,804"
08/26/2021,"200.68","217.00","199.00","205.22","6,238,647"
08/25/2021,"206.65","227.00","193.00","199.65","12,861,060"
08/24/2021,"166.29","225.00","165.15","210.29","14,652,210"
08/23/2021,"162.38","167.29","159.55","164.89","1,343,032"
